user,text,hashtags,created_at
RGEvansCO,"@British_Airways Need some info here - I booked a flight in Jan 2020 and because of COVID wasn’t able to go.  Was issued a voucher and then an evoucher which says travel must be completed by 30 April 2022, website says 30 Sept 2023, which is correct?",[],2021-11-01 17:32:39+00:00
KarlReichenVDW,@British_Airways I haven’t received my booking confirmation for flights I booked back in September and can’t call through. The automated system hangs up on me. Been trying to call all day,[],2021-11-01 17:29:14+00:00
ImSafc30,@British_Airways The live chat is hopeless and the booking is constantly asking for our details to be updated but they are! Having to resort to social media for help is poor!,[],2021-11-01 17:28:48+00:00
Cootsey,@British_Airways BA - it's not very flexible when you can get hold of anyone to change or cancel it.,[],2021-11-01 17:28:36+00:00
lewieboy,@British_Airways I have PM you can you please get back to me ASAP,[],2021-11-01 17:24:43+00:00
IanMForrest,@British_Airways the link really doesnt help me...please reply to my DM that you asked me to send you!!!! This has been nearly a week,[],2021-11-01 17:24:13+00:00
Tina_psk,"@British_Airways @prolixdnb I wonder how would you react as a person if you had ""apologies"" for dinner instead of an actual meal, after paying £1200 for a 10 hours flight?! 🤔",[],2021-11-01 17:22:56+00:00
mdial,@British_Airways yes. I can send via dm?!,[],2021-11-01 17:20:38+00:00
newburygm,@British_Airways automated replies are not helpful shameful customer service no reply to telephone queries either,[],2021-11-01 17:19:45+00:00
BCrowhurst,"@British_Airways I have been calling all day with no luck and have messaged on multiple platforms. I fly tomorrow and can’t get any help, what’s going on?",[],2021-11-01 17:19:39+00:00
IanMForrest,@British_Airways That link doesnt help me. Can you read my DM please. That explains my query,[],2021-11-01 17:17:22+00:00
kerrybadam,@British_Airways Ridiculous  to pay $2500 RT ticket and get charged $160 dollars to reserve a seat. This is WRONG,[],2021-11-01 17:15:51+00:00
ApoliticalSam,"@British_Airways Can I still check in, in person at the airport? Or do I have to use the VeriFLY App you emailed about? Personally I would prefer to check in at the airport",[],2021-11-01 17:15:25+00:00
AndreaReed70,"@British_Airways I cannot believe how rude the BA agent was. I finally got through, gave all my details, explained my issues. She said ok, just a moment, put me on hold for a while, and then transferred me to an automated message that cut me off!!!! She gave me no indication she was doing that.",[],2021-11-01 17:14:31+00:00
MevFergie,"@British_Airways I would like to bring to your attention an organisation that is using BA to scam people, they are call Infinity Global Travels.",[],2021-11-01 17:12:18+00:00
Stephen09581372,@British_Airways can you please respond to my earlier message that I sent over 4 hours ago?,[],2021-11-01 17:11:10+00:00
ImSafc30,@British_Airways Hi. We wanted to check our booking before paying the balance as the baggage is not clear on the booking.,[],2021-11-01 17:10:54+00:00
